Account,Category,Parent,FY 20-21 Actual,FY 20-21 Budget,FY 21-22 Actual,FY 21-22 Budget,FY 22-23 Actual,FY 22-23 Budget,FY 23-24 Actual,FY 23-24 Budget,FY 24-25 Actual,FY 24-25 Budget
6110,Wages - Caretaker,6100,67455.58,65210.00,54845.87,66775.04,66895.33,70714.77,60457.94,74250.51,60132.75,60000.00
6120,Payroll Taxes - Caretaker,6100,7714.36,3869.00,9113.55,5834.84,6565.22,6179.10,6883.07,5680.16,6396.33,5140.80
6130,Health Insurance,6100,2240.09,0.00,7695.52,0.00,10061.33,0.00,9634.60,0.00,4900.00,4800.00
6135,Payroll Outsourcing Fees,6100,,,,,,,,,3094.66,2352.31
6140,Workman's Compensation,6100,1057.00,4564.00,2838.00,4537.73,5297.00,4805.46,4469.00,5045.73,4087.00,5000.00
6150,Travel Allowance,6100,220.00,300.00,,,0.00,300.00,3275.15,500.00,0.00,300.00
6160,Retirement Expense,6100,4744.51,4564.00,6018.44,4537.73,5040.69,4805.46,4873.80,5045.73,2584.00,2400.00
6561,Payroll Outsourcing Expenses,6100,1643.60,1093.00,2402.84,1086.36,2296.45,1150.46,2513.25,1738.96,,
6570,Hired Help Wages,6100,15599.00,500.00,,,0.00,500.00,0.00,4000.00,0.00,2000.00
6190,Caretaker Other Expense,6100,244.33,0.00,41.10,800.00,,,,,0.00,150.00
6100,Caretaker & Help (Total),,100918.47,82100.00,82955.32,83571.70,96156.02,88455.25,92106.81,96261.09,81194.74,82143.11
6210,Ranch House Propane,6200,,,,,,,,,87.82,0.00
6230,Maintenance - Ranch House,6200,803.94,1500.00,162.38,1500.00,9389.59,500.00,3626.86,3000.00,749.18,2000.00
6240,Improvements - Ranch House,6200,,,,,0.00,500.00,1318.68,0.00,1252.62,2000.00
6200,Ranch House (Total),,803.94,1500.00,162.38,1500.00,9389.59,1000.00,4945.54,3000.00,2089.62,4000.00
6320,Electricity - Shed,6300,1095.11,850.00,1214.06,850.00,1047.17,1000.00,1379.86,1200.00,730.93,1200.00
6330,Telephone,6300,416.17,625.00,440.04,660.00,1334.46,550.00,1397.05,1380.00,1155.07,1440.00
6350,Internet,6300,,,710.46,0.00,,,,,,
6340,Maintenance - Shed,6300,634.50,500.00,940.52,500.00,278.05,500.00,498.21,500.00,573.54,2500.00
6360,Small Tools & Equipment,6300,2104.10,700.00,377.44,700.00,1142.72,3500.00,1338.99,3500.00,1455.72,1500.00
6370,Supplies - Expendable,6300,861.52,200.00,712.43,200.00,474.44,1000.00,740.75,1000.00,2625.18,1000.00
6300,Equipment Shed (Total),,5111.40,2875.00,4394.95,2910.00,4276.84,6550.00,5354.86,7580.00,6540.44,7640.00
6510,Plants and Tools,6500,76.63,300.00,1494.80,300.00,1395.90,1500.00,306.87,2000.00,707.32,1800.00
6500,Beautification Committee (Total),,76.63,300.00,1494.80,300.00,1395.90,1500.00,306.87,2000.00,707.32,1800.00
6611,Wages - Lakeside,6600,,,,,0.00,500.00,,,,,
6612,Payroll Taxes - Lakeside,6600,,,,,0.00,35.00,,,,,
6613,Payroll Expenses - Lakeside,6600,,,,,0.00,45.00,,,,,
6620,Furniture,6600,3128.12,4500.00,3272.04,4500.00,3741.16,3000.00,2069.36,3800.00,480.72,2000.00
6625,Fish,6600,,,4000.00,4000.00,4000.00,4000.00,4000.00,4000.00,2000.00,2000.00
6640,Signs & Misc,6600,101.24,500.00,552.99,500.00,453.16,500.00,0.00,500.00,229.70,500.00
6690,Misc Lake Expense,6600,11792.17,13400.00,5280.90,6200.00,5390.81,7000.00,6612.94,6500.00,13380.89,6500.00
6600,Lakeside Committee (Total),,15021.53,18400.00,13105.93,15200.00,13585.13,15080.00,12682.30,14800.00,16091.31,11000.00
6704,Roads - Wages,6700,460.00,2000.00,22.60,580.00,5928.00,3000.00,3781.50,5000.00,234.00,2400.00
6704.5,Roads - Mileage Reimbursement,6700,,,,,835.32,0.00,631.45,0.00,47.54,0.00
6705,Roads - Payroll Taxes,6700,39.77,180.00,,,538.10,270.00,418.53,382.50,21.82,183.60
6706,Roads - Payroll Expenses,6700,14.22,140.00,,,1.10,210.00,0.00,100.00,,
6710,FCR - Gravel,6700,8851.07,20000.00,17364.25,18900.00,17941.18,25000.00,7514.50,25000.00,502.23,4000.00
6730,FCR - Mag Chlor,6700,14535.29,12000.00,17831.98,17000.00,16843.20,25000.00,9996.63,25000.00,4575.00,10000.00
6740,Road Contracting,6700,18019.68,10000.00,685.00,7500.00,2065.63,5000.00,2200.00,5000.00,2915.05,0.00
6750,Culverts,6700,998.54,3000.00,2494.94,3000.00,110.92,300.00,2662.05,1000.00,963.27,3000.00
6760,Equipment Rentals,6700,3269.90,5000.00,7110.49,1500.00,13408.71,5500.00,3479.10,5500.00,1363.15,0.00
6790,Road Sand,6700,,,1009.12,500.00,418.81,500.00,366.85,800.00,887.89,800.00
6700,Roads Committee (Total),,46188.47,52320.00,46518.38,48980.00,58090.97,64780.00,31050.61,67782.50,11509.95,20383.60
6810,Mitigation Projects,6800,180.00,500.00,15218.52,500.00,1545.68,1000.00,400.00,0.00,,
6820,Fire Mitigation - Admin Costs,6800,3707.04,13500.00,1615.91,500.00,565.89,1000.00,1200.71,1000.00,384.48,1000.00
6830,Firewise - Wages,6800,,,,,0.00,2000.00,,,,,
6835,Fire Mitigation - Wages,6800,,,,,59028.75,14500.00,43023.75,45000.00,41557.33,33000.00
6835.5,Fire Mitigation - Mileage,6800,,,,,12232.44,0.00,9078.80,0.00,7214.27,5000.00
6835.10,Fire Mitigation - Payroll Taxes,6800,,,,,5332.07,0.00,3617.96,3442.50,4193.70,2524.50
6840,Firewise - Payroll Taxes,6800,,,,,0.00,180.00,,,,,
6850,Firewise - Payroll Expense,6800,255.25,300.00,,,0.00,140.00,0.00,900.00,,
6860,Fire Mitigation - Contractor,6800,,,,,0.00,60000.00,55494.61,15000.00,28152.51,30000.00
6880,Fire Mitigation - Fringes / Work Days,6800,,,,,0.00,1500.00,,,785.54,1200.00
6885,Fire Mitigation - Equipment & Supplies,6800,,,,,0.00,1500.00,6881.20,2500.00,12572.55,5500.00
6890,Fire Mitigation - Supplies,6800,,,,,816.00,0.00,2097.38,1500.00,,
6800,Firewise / Fire Mitigation (Total),,4142.29,14300.00,16834.43,1000.00,79520.83,84320.00,121794.41,69342.50,94860.38,78224.50
6905,Internet Infrastructure,6900,,,5710.94,0.00,2815.20,0.00,,,,,
6910,Electricity - Pumps,6900,2727.28,3000.00,2741.79,3120.00,2869.17,3120.00,2422.84,3000.00,2483.60,3000.00
6915,SCADA Phone,6900,1608.41,1900.00,1775.33,1763.04,1425.51,1763.04,441.88,300.00,449.42,450.00
6920,Water Tests,6900,1794.28,7600.00,2881.92,7500.00,1455.33,7500.00,1172.17,3500.00,1850.50,8000.00
6921,Propane for Backup Generators,6900,167.84,150.00,,,304.21,250.00,209.80,250.00,180.00,250.00
6925,Chemicals,6900,42.64,250.00,,,141.73,600.00,274.56,600.00,490.00,400.00
6930,Genset Operations,6900,1268.45,700.00,,,1520.28,700.00,1084.22,600.00,769.99,1000.00
6905,Internet Infrastructure,6900,,,,,,,4200.00,4000.00,,
6940,System Repairs,6900,361.16,6500.00,7608.53,6500.00,12928.12,5000.00,8653.57,5000.00,1077.45,5000.00
6950,System Improvements,6900,7833.89,150.00,,,931.94,150.00,924.86,1000.00,76.61,500.00
6970,Memberships & Fees,6900,6087.35,4500.00,6715.55,5000.00,7235.37,5000.00,9219.24,7800.00,8919.33,10500.00
6980,Training,6900,0.00,700.00,,,0.00,0.00,0.00,500.00,,
6990,Utilities / Misc / Admin,6900,1500.00,0.00,1427.09,0.00,121.21,150.00,4742.99,10000.00,19079.02,20200.00
6900,Utilities Committee (Total),,23391.30,25450.00,30561.15,25583.04,31748.07,24733.04,33346.13,36550.00,35375.92,49300.00
7046,Common Property - Fuel,7000,,,,,867.01,0.00,1255.74,3200.00,4296.41,1600.00
7054,Common Property Services / Contract Labor,7000,,,21692.12,0.00,4000.00,0.00,,,,,
7051,Wages - Common Property,7000,16403.33,14684.00,63628.08,12400.00,3986.67,14000.00,8611.00,2000.00,,
7052,Payroll Taxes - Common Property,7000,,,3883.54,1584.00,353.66,1260.00,893.16,153.00,,
7053,Payroll Expenses,7000,,,719.40,1100.00,0.00,980.00,0.00,1200.00,,
6520,Work Days,7000,,,,,543.15,500.00,487.97,1500.00,,
7010,Pest Control,7000,0.00,100.00,,,612.50,1500.00,2791.21,1500.00,2300.00,3000.00
7030,Weed Control,7000,72.91,1000.00,,,63.36,1500.00,569.20,1500.00,496.44,1500.00
7040,Forest Management,7000,4242.24,7000.00,19346.00,7000.00,11568.09,2000.00,795.45,0.00,2000.00,500.00
7070,Signs,7000,1042.89,300.00,601.00,0.00,36.96,500.00,1533.18,1500.00,754.63,900.00
7000,Common Property (Total),,21761.37,23084.00,109870.14,23084.00,22031.40,22240.00,16936.91,12553.00,9847.48,7500.00
7110,Fuels Lubricants & Filters,7100,4933.11,4000.00,8840.27,4000.00,12766.78,10000.00,6715.03,10000.00,5737.38,4000.00
7120,Licenses and Permits,7100,778.97,350.00,374.25,350.00,374.25,350.00,609.94,400.00,616.15,650.00
7130,Grader Maintenance,7100,3951.18,3000.00,1459.60,1000.00,4857.36,2000.00,4101.37,3500.00,1280.40,2000.00
7140,Dump Truck Maintenance,7100,800.79,1000.00,7282.33,1000.00,728.77,2000.00,377.72,3000.00,552.37,500.00
7160,Backhoe Maintenance,7100,3364.33,2000.00,4459.30,2000.00,13135.91,2000.00,6627.28,3000.00,6327.59,1000.00
7170,PickUp Maintenance,7100,3045.18,1000.00,1100.08,1500.00,5245.24,2500.00,5737.53,4000.00,4768.57,1500.00
7175,Tractor/Chipper/RTV Maintenance,7100,238.14,500.00,0.00,500.00,3201.92,500.00,3041.68,1500.00,1321.22,1500.00
7180,Air Curtain Burner Maintenance,7100,28.00,0.00,,,215.66,0.00,89.92,200.00,0.00,200.00
7185,Trailer,7100,,,,,,,201.11,250.00,,
7190,Equipment Other,7100,,,,,,,,,55.03,250.00
7100,Equipment Operations (Total),,17139.70,11850.00,25257.56,11850.00,40525.89,19350.00,27501.58,25850.00,20658.71,11600.00
7210,Insurance,7200,20231.16,24000.00,15301.20,16000.00,13277.27,17000.00,14998.54,15000.00,15477.35,15500.00
7220,Bookkeeping & Financial Reports,7200,12865.50,14725.00,18892.93,14725.00,13549.00,15000.00,14538.15,15000.00,9307.64,16000.00
7225,Finance Charges,7200,41.00,0.00,,,139.59,0.00,,,,,
7230,Dumpsters,7200,27690.07,14600.00,11329.58,11600.00,14114.01,10000.00,15589.08,15000.00,15998.60,16200.00
7200,Services (Total),,60827.73,53325.00,45523.71,42325.00,41079.87,42000.00,45125.77,45000.00,40783.59,47700.00
7310,Annual Meeting,7300,318.70,400.00,,,742.32,600.00,694.94,700.00,958.24,700.00
7330,Special Events,7300,1881.78,600.00,,,1701.56,1500.00,2667.46,1500.00,1169.08,1500.00
7300,Activities (Total),,2200.48,1000.00,,,2443.88,2100.00,3362.40,2200.00,2127.32,2200.00
7410,Professional Services,7400,5703.71,2000.00,3685.16,2500.00,5670.00,5000.00,6162.72,8500.00,4510.64,2200.00
7415,Legal,7400,,,,,,,,,4233.00,4800.00
7420,Administrative,7400,4519.12,1000.00,2541.50,2400.00,1003.12,800.00,1924.33,1000.00,1326.94,1500.00
7425,Safety,7400,,,,,,,1719.40,3000.00,298.38,0.00
7430,Discretionary Payments / Bonus,7400,,,,,1000.00,1000.00,1000.00,0.00,1000.00,1000.00
7445,AED Renewal Fees,7400,,,,,0.00,600.00,0.00,720.00,608.56,720.00
7400,Board Operations (Total),,10222.83,4600.00,6226.66,4900.00,7673.12,7400.00,10806.45,14220.00,11977.52,10220.00
7700,Note Interest Expense,,662.47,1850.00,,,0.00,0.00,13966.12,0.00,14873.17,14873.22
7715,Dam Maintenance,7900,,,,,854.78,6000.00,1186.53,5000.00,1629.40,4500.00
7760,Dam Payroll - Wages,7900,,,,,1007.00,2000.00,1431.00,3000.00,148.17,2750.00
7765,Dam Payroll - Taxes,7900,,,,,92.93,180.00,84.58,229.50,14.11,210.38
7968,Dam Mileage,7900,,,,,,,240.76,0.00,,
7970,Dam Payroll Expense,7900,,,,,,,0.00,60.00,,
